event_time,estimate,std_error,ci_low,ci_high
-6,-0.08517003094188647,0.1181027008030312,-0.3166513245158276,0.14631126263205468
-5,0.26132121696513555,0.1907635037073826,-0.11257525030133436,0.6352176842316055
-4,0.25626215903005145,0.07300675870981684,0.11316891195881046,0.39935540610129244
-3,-0.057069866111410655,0.2523344596365903,-0.5516454069991276,0.4375056747763063
-2,0.12419399945578935,0.18665790079364844,-0.24165548609976156,0.49004348501134026
0,0.1444046069764191,0.1735461680172062,-0.19574588233730505,0.48455509629014326
1,0.11928600123412039,0.25037985593418477,-0.37145851639688177,0.6100305188651225
2,0.5159978581088589,0.20472913883433078,0.11472874599357058,0.9172669702241472
3,0.5447316908062307,0.22030760071858763,0.11292879339779899,0.9765345882146625
4,0.7547413584051185,0.2981273208057018,0.17041180962594293,1.339070907184294
5,0.5205380133859859,0.17783732504532365,0.1719768562971516,0.8690991704748203
6,0.7151530297514723,0.18583659644432982,0.3509133007205859,1.0793927587823586
7,0.7351794228653331,0.18640344415892446,0.3698286723138412,1.100530173416825
8,0.9819206711551982,0.15018946860297672,0.6875493126933638,1.2762920296170326
