iso,observed,fitted,residual
ALB,5.852411763781076,3.2571560399055364,2.5952557238755394
ARG,0.039728184912863895,0.9061103284449685,-0.8663821435321046
BEN,0.11912607791492391,1.4395886043771962,-1.3204625264622722
BFA,0.9474706891330698,1.104984582255563,-0.1575138931224933
BGD,4.746124256990081,1.898342396137233,2.847781860852848
BGR,2.4920295828385353,5.130953677666592,-2.638924094828057
BOL,0.12945690230989904,0.49391887238437987,-0.36446197007448083
BRA,1.9335321049910625,2.411123848160078,-0.47759174316901554
CAF,-0.2615605329458148,1.4207823457380628,-1.6823428786838777
CHL,2.9874179537942958,3.0861114423150258,-0.09869348852073001
CIV,2.1322527609280018,2.9316555731992633,-0.7994028122712615
COG,2.096860864739307,1.7666610486846948,0.33019981605461246
COM,1.3632167021981534,0.8249282894185398,0.5382884127796136
CPV,5.609357588987667,3.1735692197612586,2.435788369226408
DJI,2.5801534020940142,3.3872678487293606,-0.8071144466353464
DOM,2.243703704096429,0.8148161705291393,1.42888753356729
ECU,0.7304329592992342,1.1350019528874284,-0.4045689935881942
ESP,2.750068874778213,2.5726476770681557,0.1774211977100575
ETH,3.551875361959538,2.414196754600144,1.1376786073593936
GHA,-1.1293490101984505,1.276933108132908,-2.4062821183313585
GNB,0.3675295905862086,0.987218192242855,-0.6196886016566464
GRC,1.7795330425041822,2.2924584741582295,-0.5129254316540472
GTM,1.526098465585548,0.11026863722618502,1.415829828359363
HND,0.2035275695029437,1.4957846532488144,-1.2922570837458707
HRV,3.1436809952329003,4.029701792241241,-0.8860207970083405
HUN,2.851240569044453,4.187137598096834,-1.335897029052381
IDN,4.080384849701257,2.2423999530898,1.8379848966114576
KOR,5.030802920104431,4.272678771680915,0.7581241484235166
LSO,1.2450642267760115,1.8415702591934804,-0.5965060324174689
MDG,0.7925843997744542,1.4186813867100339,-0.6260969869355797
MEX,2.376020279722404,3.3289147576495166,-0.9528944779271127
MLI,1.1712007822472703,1.5625124439052915,-0.3913116616580212
MNG,8.70196347941751,3.739377986239286,4.962585493178223
MOZ,-1.802139854152287,1.313087587261366,-3.115227441413653
MWI,1.2546843066661717,2.374484747154481,-1.1198004404883095
NER,-0.367805278633484,2.9590549577636125,-3.3268602363970965
NGA,-0.0052667724478228095,2.023318885539758,-2.028585657987581
NIC,2.2752175888179904,2.0748122891148792,0.20040529970311116
NPL,2.4634428246401363,1.8400468009315556,0.6233960237085807
PAK,2.888844652531568,2.2824761189320943,0.6063685335994737
PAN,4.045435899195846,1.6828951333775422,2.362540765818304
PER,-0.5706825944546612,1.5196763447982062,-2.0903589392528676
PHL,2.2005188539460807,1.5267634147478715,0.6737554391982092
PRT,3.0874226174635133,2.7628696949141704,0.32455292254934287
PRY,1.6624809981261546,1.7830034800260954,-0.12052248189994086
ROU,4.633163476226647,2.490992766766427,2.14217070946022
SDN,-0.3473379629860984,0.7976823335532068,-1.1450202965393053
SEN,1.2890054003224272,2.751225890411624,-1.4622204900891966
SLE,0.6113690967060093,0.06638031780509435,0.5449887789009149
SLV,2.295353093580239,1.2195995212152213,1.0757535723650178
THA,5.494898043824978,1.4933726346185205,4.001525409206458
URY,1.5292787111839523,2.0588005673323964,-0.529521856148444
ZAF,3.514212619641448,3.532486931567631,-0.018274311926183007
ZMB,4.292430766243545,3.3520856830954946,0.94034508314805
ZWE,0.8930286186904102,0.6609256809293522,0.23210293776105795
