iso,year,country,capacity_pre5,dem,log_gdp0,growth10,cap_z
AGO,1990,Angola,-0.8040800094604492,0.0,6.708020210266113,-2.2257328033447266,-1.1161083092326163
AGO,2000,Angola,-0.7413800001144409,0.0,6.485446929931641,7.451190948486328,-1.0497221545420923
ALB,1980,Albania,0.18314999751746655,0.0,6.966670036315918,-0.8140039443969727,-0.0708388644277342
ALB,1990,Albania,0.5431800007820129,0.0,6.885269641876221,2.049221992492676,0.3103573704572238
ALB,2000,Albania,-0.2710219964385033,1.0,7.090191841125488,4.672794342041016,-0.5517117153467628
ARG,1970,Argentina,0.11354819750413299,0.0,8.796525955200195,1.3154220581054688,-0.14453256735727357
ARG,1980,Argentina,0.050487999245524405,0.0,8.928068161010742,-3.0077266693115234,-0.21130008653432802
ARG,1990,Argentina,0.3027540028095245,1.0,8.62729549407959,3.211078643798828,0.05579668283523132
ARG,2000,Argentina,1.0386400103569031,1.0,8.948403358459473,3.3420372009277344,0.8349455672004699
ARM,2000,Armenia,0.4472800076007843,1.0,6.4320149421691895,7.584662437438965,0.20881939863625865
AUS,1970,Australia,1.8263999700546265,1.0,9.447728157043457,1.3465213775634766,1.6690180831214487
AUS,1980,Australia,2.016199994087219,1.0,9.582380294799805,1.8761634826660156,1.8699764862719106
AUS,1990,Australia,2.3455999851226808,1.0,9.769996643066406,2.1811580657958984,2.218741964746748
AUS,2000,Australia,2.3851999759674074,1.0,9.988112449645996,1.48468017578125,2.260670046502748
AUT,1970,Austria,1.3420000076293945,1.0,9.32539176940918,3.448925018310547,1.1561401557803943
AUT,1980,Austria,1.5434000015258789,1.0,9.670284271240234,1.9710254669189453,1.3693804932052211
AUT,1990,Austria,1.8931999921798706,1.0,9.867386817932129,2.1734619140625,1.73974529111379
AUT,2000,Austria,2.009999990463257,1.0,10.084733009338379,1.074228286743164,1.863411983268557
AZE,2000,Azerbaijan,-0.46184000074863435,0.0,6.484784126281738,12.752127647399902,-0.7537479460267811
BDI,1970,Burundi,-1.3305999994277955,0.0,4.841084003448486,0.6746721267700195,-1.6735825084585638
BDI,1980,Burundi,-0.9360200047492981,0.0,4.908551216125488,1.3126611709594727,-1.2558050816649184
BDI,1990,Burundi,-0.6037599921226502,0.0,5.0398173332214355,-3.28155517578125,-0.9040114403915241
BDI,2000,Burundi,-0.5313000082969666,0.0,4.7116618156433105,0.35927772521972656,-0.8272915204856279
BEL,1970,Belgium,1.6315999984741212,1.0,9.337870597839355,3.123331069946289,1.462765784566147
BEL,1980,Belgium,1.9101999998092651,1.0,9.650203704833984,1.8810272216796875,1.7577447323897415
BEL,1990,Belgium,2.352799987792969,1.0,9.838306427001953,1.916799545288086,2.2263652569284798
BEL,2000,Belgium,2.3890000343322755,1.0,10.029986381530762,0.7628059387207031,2.2646935110137494
BEN,1970,Benin,-0.786679995059967,0.0,5.67641544342041,0.283660888671875,-1.0976853447122563
BEN,1980,Benin,-0.9155199885368347,0.0,5.704781532287598,-0.15154361724853516,-1.2340998656428812
BEN,1990,Benin,-0.7232199907302856,0.0,5.689627170562744,1.5666818618774414,-1.0304945147899995
BEN,2000,Benin,-0.2646199971437454,1.0,5.846295356750488,0.8605527877807617,-0.5449333413091283
BFA,1970,Burkina Faso,-0.5570599913597107,0.0,4.919399738311768,1.0848712921142578,-0.8545659377985734
BFA,1980,Burkina Faso,-0.8001599907875061,0.0,5.027886867523193,0.8915615081787109,-1.111957831924461
BFA,1990,Burkina Faso,-0.271900001168251,0.0,5.1170430183410645,2.4131250381469727,-0.5526413381397419
BFA,2000,Burkina Faso,0.09237800240516662,0.0,5.358355522155762,2.627711296081543,-0.16694736220862436
BGD,1980,Bangladesh,-0.5139999985694885,0.0,5.5364766120910645,0.9893274307250977,-0.8089744399318107
BGD,1990,Bangladesh,-0.6636399865150452,0.0,5.635409355163574,2.607545852661133,-0.9674117909188135
BGD,2000,Bangladesh,-0.14910400062799453,1.0,5.8961639404296875,4.283075332641602,-0.4226261376274612
BGR,1980,Bulgaria,0.9760599851608276,0.0,7.1652727127075195,2.556281089782715,0.7686864505506245
BGR,1990,Bulgaria,1.5699999809265137,0.0,7.420900821685791,-0.5613327026367188,1.3975442903987811
BGR,2000,Bulgaria,1.4184000015258789,1.0,7.364767551422119,4.789080619812012,1.2370317196903444
BHR,1980,Bahrain,0.1948020026087761,0.0,9.317208290100098,-1.6578388214111328,-0.05850183576514287
BHR,1990,Bahrain,-0.1487799972295761,0.0,9.151424407958984,2.812166213989258,-0.42228308600829856
BIH,2000,Bosnia & Herzegovina,-0.659060001373291,0.0,7.306962966918945,3.81650447845459,-0.9625625475889933
BLR,2000,Belarus,0.680680000782013,0.0,7.149169921875,7.656927108764648,0.45594102132358816
