model,formula,term,estimate,se,ci_low,ci_high,p,n,countries,covariance,r2
wdi10_primary_cohort,growth10_wdi ~ cap_z + log_gdp0_wdi + t_center,cap_z,1.0310825605964014,0.6613544550271443,-0.296641909742168,2.3588070309349707,0.12516981372470487,55,55,HC3,0.10896531497182071
wdi10_primary_prior_growth,growth10_wdi ~ cap_z + log_gdp0_wdi + t_center + pre_growth10_wdi,cap_z,0.8230577097092879,0.743360067401653,-0.6741463212030754,2.3202617406216515,0.27408550985016733,50,50,HC3,0.18877055896609374
wdi10_common_mpd,growth10_wdi ~ cap_z + log_gdp0_wdi + t_center,cap_z,1.028983663528333,0.6996948497151225,-0.3771057800060418,2.4350731070627076,0.14778735335202242,53,53,HC3,0.10196753153235638
mpd10_common_wdi,growth10_mpd ~ cap_z + log_gdp0_mpd + t_center,cap_z,1.1913332191587036,0.62544068174126,-0.06553688716176209,2.4482033254791693,0.06268572956165115,53,53,HC3,0.22845100242738503
wdi20_common_mpd,growth20_wdi ~ cap_z + log_gdp0_wdi + t_center,cap_z,1.260565201063241,0.41167363473534446,0.43485245681487295,2.0862779453116094,0.0034490140132364356,57,57,HC3,0.22969405470690352
mpd20_common_wdi,growth20_mpd ~ cap_z + log_gdp0_mpd + t_center,cap_z,1.3071109397531004,0.45107772529178786,0.4023635986720032,2.2118582808341976,0.0054541562416074866,57,57,HC3,0.29513264676351636
wdi20_common_prior_growth,growth20_wdi ~ cap_z + log_gdp0_wdi + t_center + pre_growth10_wdi,cap_z,1.0739239264754228,0.4587972408454599,0.1509429294791783,1.9969049234716674,0.02354020637849117,52,52,HC3,0.3431506830021399
wdi20_without_korea_taiwan,growth20_wdi ~ cap_z + log_gdp0_wdi + t_center,cap_z,1.1286331565200503,0.395544937670831,0.3349141710845528,1.9223521419555478,0.00619602123810833,56,56,HC3,0.20692775544129982
