iso,observed,fitted
ALB,5.85406064808442,0.7294719141579565
ARG,-0.26551477738102847,-0.39659974618728466
BEN,1.3898969733482591,1.2281276826891585
BFA,0.9928720378549372,1.3643190670838683
BGD,2.7058768654931598,2.074714609280151
BGR,-1.7416528092248207,3.5005747807312866
BOL,-1.5181363010118787,0.0716121720063641
BRA,0.9550377806912991,0.9569237274123437
CAF,-0.029555227144744123,0.6614662825352342
CHL,4.521848633431684,1.8722529523087166
CIV,-1.8354394358294268,1.6289286482719167
COG,-1.346476733519344,1.0275938655480064
CPV,8.918128347250374,3.334848957609267
DOM,1.3479326956522986,1.2635899232935515
ECU,0.258935319542406,1.0017771765079235
ESP,1.3421959418753815,1.051499684339023
ETH,1.6839858151064568,1.7393533780939012
GNB,0.19587196886233116,1.7312433534279597
GRC,1.4888469662802883,1.5103680737953555
GUY,4.1985794399433285,0.5637189151337317
HND,5.280916925911319,3.4248470732809038
HUN,-0.3318641360307417,2.168497154824296
IDN,3.2530431145375616,2.6949204647255454
KOR,7.329552549226878,4.022068138378191
LSO,2.53225980893113,2.5125527603062197
MDG,-1.6739530307711359,0.8547230933842573
MEX,1.6505168364906275,1.6772962325160283
MLI,1.6336788062926555,1.1585046331745934
MNG,1.389158915746096,2.0865770960929244
MOZ,4.754087165093779,2.446060620147922
MWI,0.902897641201168,1.936140537965727
NER,-1.7047068718290692,1.2160553684619373
NGA,-3.543423712651786,1.981742255979169
NIC,0.9519761957156536,0.10713335539843875
NPL,2.581316621147147,2.4677897889743026
PAK,2.0183281002257747,2.0653392961692836
PAN,2.175795210818716,0.6378943390387516
PER,-2.324745056437374,0.2623736868852784
PHL,1.2173032493179825,0.42744672360461566
PRT,1.955069085513479,1.700806522273112
PRY,-0.34531830863937074,0.9156065868183765
SEN,1.001464265309897,2.19202243440979
SLE,1.0968291231834204,-0.7326825836034921
SLV,-0.9776215916577247,-0.43456425964529954
SUR,0.09078455559400567,-0.8885162364059263
THA,4.2213044961924595,1.8821090585323224
URY,3.5696887322157522,0.25028047306122986
ZAF,1.7820052239652995,1.160930836872497
ZMB,-0.8811557958898941,1.4930219275125352
ZWE,0.1518574928478511,0.2715769637046718
