excluded,estimate,ci_low,ci_high
ALB,0.48891513451796903,-0.5252311731081045,1.5030614421440425
ARG,0.5877431896721889,-0.49445796072088355,1.6699443400652614
BEN,0.6373351257183155,-0.43933013664082465,1.7140003880774557
BFA,0.6191685815688505,-0.4537991793592354,1.6921363424969362
BGD,0.6399248142397489,-0.4337595760047439,1.7136092044842417
BGR,0.9746042454620132,-0.06958997179260873,2.018798462716635
BOL,0.5499540184389939,-0.5263966012408019,1.6263046381187898
BRA,0.6269435317789014,-0.4466542822026556,1.7005413457604583
CAF,0.6171156420562779,-0.46598307944846706,1.700214363561023
CHL,0.5823745444383155,-0.4801640086895962,1.6449130975662272
CIV,0.6342694816107864,-0.4529029095569016,1.7214418727784744
COG,0.5801724558005596,-0.48750781787749786,1.6478527294786172
COM,0.5667149275362316,-0.5336421131649997,1.667071968237463
CPV,0.5745050159910283,-0.4868667228434653,1.635876754825522
DJI,0.6331398908327823,-0.4524059724074705,1.7186857540730351
DOM,0.6638232856568977,-0.44239299702795365,1.7700395683417491
ECU,0.6185197639680019,-0.45401589175544343,1.6910554196914473
ESP,0.627574508017311,-0.4497641298100865,1.7049131458447084
ETH,0.6096532856705832,-0.4656404617373393,1.6849470330785057
GHA,0.6774340827006747,-0.4224840931124235,1.777352258513773
GNB,0.5567400023326436,-0.5080101741265317,1.621490178791819
GRC,0.6269276948122607,-0.44703378791496406,1.7008891775394854
GTM,0.6930975825192467,-0.4031090875976724,1.7893042526361658
GUY,0.5676096229595871,-0.4939074958886225,1.6291267418077966
HND,0.6104010447385733,-0.4612884099854804,1.682090499462627
HRV,0.6011523554830175,-0.4871777343971321,1.6894824453631672
HUN,0.7390043435927929,-0.43562706241238325,1.913635749597969
IDN,0.6402088869707826,-0.4280737589008653,1.7084915328424306
KOR,0.4310091652196314,-0.5413189043575027,1.4033372347967656
LSO,0.6316429492586405,-0.4404281112264804,1.7037140097437615
MDG,0.5785739709123217,-0.48971154878269685,1.6468594906073402
MEX,0.6274764327783676,-0.4451859517722253,1.7001388173289604
MLI,0.6380151379548096,-0.4366412995127742,1.7126715754223933
MNG,0.6304110979390033,-0.5217470776162078,1.7825692734942145
MOZ,0.6805624796911186,-0.4014486502831728,1.7625736096654099
MWI,0.6380661240735126,-0.44684495032970983,1.722977198476735
NER,0.7204992022430964,-0.39836716624512125,1.8393655707313141
NGA,0.6974636879614239,-0.40539812842258904,1.800325504345437
NIC,0.6257947541912261,-0.44649600292678504,1.6980855113092372
NPL,0.618027285758347,-0.45173792546324043,1.6877924969799345
PAK,0.5667285145433633,-0.5457100783246153,1.6791671074113417
PAN,0.6457221087116947,-0.45701434001221264,1.748458557435602
PER,0.586188422849957,-0.47953377944209175,1.6519106251420057
PHL,0.6339925947214018,-0.44413437243630116,1.7121195618791047
PRT,0.6171432630183771,-0.4735930432053801,1.7078795692421342
PRY,0.5845458834796904,-0.48474858865622505,1.6538403556156058
ROU,0.624292920244155,-0.4601277530698742,1.708713593558184
SDN,0.6423888691827428,-0.4401360265138068,1.7249137648792925
SEN,0.6273043471398909,-0.44668157539168996,1.7012902696714718
SLE,0.7334234012533483,-0.44263469665522326,1.9094814991619198
SLV,0.6006671570986596,-0.4818997824226211,1.6832340966199402
SUR,0.6410856894221147,-0.47580752992694586,1.7579789087711752
THA,0.5759398683978307,-0.4831876689706853,1.6350674057663468
URY,0.6664231495085964,-0.4070506984786042,1.739896997495797
ZAF,0.641009485813718,-0.45488856466781213,1.7369075362952482
ZMB,0.7462774331235711,-0.3829189074458965,1.8754737736930387
ZWE,0.6228344159705375,-0.4610151176601456,1.7066839496012205
