iso,country,DDCG_dem_1960,DDCG_dem_2010,qualifying_transition,capacity_1960,capacity_2010,mpd_gdppc_1960,mpd_gdppc_2022,capacity_world_percentile,growth10_ddcg,growth10_mpd,growth20_mpd,pre_growth10_ddcg,main_eligible,gdppc_ratio_2022_1960
KOR,Korea,1.0,1.0,1988.0,0.7865999937057495,1.9170000553131104,1547.6917726385554,41320.89777310909,83.91608391608392,6.430015563964844,6.6163876516687194,5.030802920104431,5.896816253662109,True,26.698402423283465
TWN,Taiwan,0.0,1.0,1992.0,0.2775000035762787,1.531000018119812,2157.0,53142.98296097826,88.48920863309353,,4.36539631715231,4.114868048155804,,False,24.63745153499224
SGP,Singapore,,0.0,,0.21119999885559082,1.6399999856948853,3464.0,80320.0872024852,,,,,,,23.18709214852344
JPN,Japan,1.0,1.0,,1.7350000143051147,1.8580000400543213,6354.0,38268.788301490815,,,,,,,6.022786953335036
CHN,China,0.0,0.0,,-0.3880000114440918,0.6988000273704529,1057.0,19238.17878269338,,,,,,,18.200736785897238
MYS,Malaysia,0.0,0.0,,-0.24490000307559967,0.8913999795913696,2439.0,26628.70757540267,,,,,,,10.917879284707942
IDN,Indonesia,0.0,1.0,1999.0,-0.9641000032424927,0.6362000107765198,1613.0,12801.67093446864,33.95061728395062,3.377060890197754,3.8315593028397466,4.080384849701257,3.756399154663086,True,7.93655978578341
THA,Thailand,0.0,1.0,1974.0,-0.5246999859809875,0.6326000094413757,1718.0,16421.072993706417,48.837209302325576,4.1464948654174805,4.182168471236771,5.494898043824978,4.735164642333984,True,9.558249705300591
PHL,Philippines,1.0,1.0,1987.0,-0.06426999717950821,0.7085000276565552,2353.0,8370.666118920128,30.76923076923077,1.1841821670532227,1.8168304992924789,2.2005188539460807,-0.9838771820068359,True,3.5574441644369434
IND,India,1.0,1.0,,0.02053000032901764,0.733299970626831,1200.0,7765.592962073302,,,,,,,6.471327468394419
VNM,Vietnam,0.0,0.0,,,0.5389000177383423,1274.0,8050.358830663885,,,,,,,6.318962975403363
PAK,Pakistan,0.0,1.0,1972.0,-0.21160000562667847,0.09740000218153,1031.0,5531.7229733188515,61.111111111111114,2.18414306640625,2.596652074983261,2.888844652531568,3.8323545455932617,True,5.365395706419837
LKA,Sri Lanka,1.0,1.0,,0.10170000046491623,0.1704999953508377,2064.0,10705.481483137308,,,,,,,5.18676428446575
MMR,Myanmar,1.0,0.0,,-0.8779000043869019,-0.6661999821662903,899.0,5177.432821804038,,,,,,,5.759102137713057
