iso,observed,fitted
ALB,5.85406064808442,2.3906627947674846
ARG,-0.26551477738102847,0.045172050913376574
BEN,1.3898969733482591,1.0943915186647932
BFA,0.9928720378549372,1.2675116065266105
BGD,2.7058768654931598,1.4853713988659911
BGR,-1.7416528092248207,3.5093521909455316
BOL,-1.5181363010118787,0.16416400576622253
BRA,0.9550377806912991,1.207830521577435
CAF,-0.029555227144744123,1.108283485972536
CHL,4.521848633431684,1.8880615612311127
CIV,-1.8354394358294268,1.7519477451648222
COG,-1.346476733519344,0.9428589417642651
COM,-0.11716715917470033,0.12122471279155264
CPV,8.918128347250374,2.3995534845091773
DOM,1.3479326956522986,0.2415570270731583
ECU,0.258935319542406,0.471711238139413
ESP,1.3421959418753815,1.0595536479457728
ETH,1.6839858151064568,2.1778371355197566
GHA,-1.6570299798689447,0.9834041606211819
GNB,0.19587196886233116,0.7457493625945396
GRC,1.4888469662802883,0.9130172180467897
GTM,2.8724513964765386,-0.040430626876767115
GUY,4.1985794399433285,1.6852931516413003
HND,5.280916925911319,1.9778903149208773
HRV,3.4824051848356774,2.316376248602565
HUN,-0.3318641360307417,2.441414580229603
IDN,3.2530431145375616,1.5544771482336457
KOR,7.329552549226878,2.6215712588447664
LSO,2.53225980893113,1.5623740184961235
MDG,-1.6739530307711359,1.1469580515877835
MEX,1.6505168364906275,1.7351072621884662
MLI,1.6336788062926555,1.0876335502986652
MNG,1.389158915746096,2.438107395296847
MOZ,4.754087165093779,1.6405062339400864
MWI,0.902897641201168,1.9304927349680017
NER,-1.7047068718290692,2.2527216709654745
NGA,-3.543423712651786,1.0510662399098445
NIC,0.9519761957156536,1.3699531897725192
NPL,2.581316621147147,1.6268640905674627
PAK,2.0183281002257747,1.9425460465676951
PAN,2.175795210818716,0.6442001600090935
PER,-2.324745056437374,0.8070367308810316
PHL,1.2173032493179825,0.9763099987164635
PRT,1.955069085513479,1.4216281859987367
PRY,-0.34531830863937074,0.7306412358706262
SDN,-0.9345003245281358,0.7139063136685113
SEN,1.001464265309897,1.8657454093675288
SLE,1.0968291231834204,-0.1285332250413233
SLV,-0.9776215916577247,0.5050537215599087
SUR,0.09078455559400567,-0.1284334106088232
THA,4.2213044961924595,1.2650389761726366
URY,3.5696887322157522,0.8933577981693768
ZAF,1.7820052239652995,2.111255854835658
ZMB,-0.8811557958898941,2.322887355769822
ZWE,0.1518574928478511,0.21026540369157404
