iso,observed,fitted,residual
ALB,5.859018851444731,2.315276525501839,3.5437423259428917
ARG,-0.5228847003163395,1.1223006782440754,-1.645185378560415
BDI,-0.14049433096791297,1.356204869831772,-1.4966992007996849
BEN,0.5266716514772884,0.7647561637646515,-0.23808451228736305
BFA,2.982135245041224,0.17715081669753813,2.804984428343686
BGD,3.896409081650365,0.8322078230390922,3.0642012586112726
BGR,-0.5900413953334649,4.176762628607552,-4.766804023941017
BOL,-1.1746086178919946,0.38313752360366965,-1.5577461414956641
BRA,1.4698280874417868,2.0738653387928774,-0.6040372513510905
CAF,-0.3846557696903119,0.47871033181769246,-0.8633661015080043
CHL,3.9467362422474395,2.7327939769507297,1.2139422652967098
CIV,0.370969837057169,2.0415857411716396,-1.6706159041144706
COG,0.9714984068923727,1.3531438983961908,-0.3816454915038181
COM,0.7077189212237123,0.08762590254846361,0.6200930186752487
CPV,6.008719581672128,2.0647369046531368,3.9439826770189916
CYP,2.870500011330961,0.6839914309017399,2.186508580429221
DJI,2.212122799413798,2.275074603848676,-0.0629518044348778
DOM,0.7802428350585089,0.5343071933052999,0.24593564175320903
ECU,0.06787177818472045,1.03070857443995,-0.9628367962552296
ESP,1.991044552620309,2.4104172006758344,-0.4193726480555253
ETH,0.5285136309593153,1.0897895180546784,-0.5612758870953631
GHA,-0.9063363192042306,0.5782576722126915,-1.4845939914169222
GIN,2.9792303914466345,1.8384869570546287,1.1407434343920058
GNB,-0.7996714059574828,0.2976549156903233,-1.097326321647806
GRC,2.0994657650121695,2.1279339076037003,-0.028468142591530743
GTM,3.326186673052227,-0.01950723751982958,3.3456939105720567
HND,-0.7647402566430372,1.0092504173257855,-1.7739906739688227
HRV,4.383974727245938,3.5895592449075546,0.7944154823383838
HTI,-0.6749494656888988,-0.021252837251682838,-0.653696628437216
HUN,1.127900504316468,3.5778674811678015,-2.4499669768513335
IDN,3.8315593028397466,1.8807635352290344,1.9507957676107122
KEN,3.1844487387807074,1.8243911644405724,1.360057574340135
KGZ,2.458223287641168,1.6747354392739222,0.7834878483672458
KHM,2.1574559224892287,0.5622710761497098,1.5951848463395188
KOR,6.6163876516687194,3.621324227993846,2.9950634236748734
LBN,3.586516821275243,2.099742472050046,1.4867743492251968
LBR,0.549127604895574,0.5626573155776563,-0.013529710682082308
LSO,0.2292721282484944,1.0959048468500594,-0.866632718601565
MDG,-0.3696021331353805,0.5576928117185159,-0.9272949448538964
MEX,3.188823060457029,2.972542214985686,0.21628084547134296
MLI,0.9823396285394193,0.66912250853151,0.31321712000790924
MNG,6.140320817683058,2.4604039627418843,3.679916854941174
MOZ,-2.1944031330747205,0.5880889862106375,-2.782492119285358
MRT,1.8472727059739125,2.1942379504346077,-0.3469652444606952
MWI,0.4520209562156552,1.1305910856234431,-0.6785701294077879
NER,-2.2921621352097077,1.5399415788100876,-3.8321037140197953
NGA,-1.9602448196027922,1.1625296650526042,-3.1227744846553964
NIC,1.3837177988479787,1.3472771462126305,0.036440652635348236
NPL,2.4301813314254073,0.9112535566222245,1.5189277748031826
PAK,2.596652074983261,1.1636925521603192,1.432959522822942
PAN,1.8359933856069155,1.6604029737925852,0.17559041181433033
PER,-2.5578332537106974,1.3419233694992805,-3.899756623209978
PHL,1.8168304992924789,1.0546816983879985,0.7621488009044803
POL,2.8589403168464678,3.144482429796345,-0.2855421129498774
PRT,2.4259125670836035,2.4225493831069027,0.0033631839767007676
PRY,0.7157987050141124,1.505308357160424,-0.7895096521463116
ROU,0.5162471630675647,2.0881573717777857,-1.571910208710221
SDN,-1.2511884714659693,0.04268017601806051,-1.2938686474840297
SEN,0.7367540043354737,1.8191793689938598,-1.0824253646583861
SLE,-1.2245292358810733,-0.32490081407632626,-0.899628421804747
SLV,-0.038350892496819,0.8452721203812619,-0.8836230128780809
THA,4.182168471236771,0.9193882647607834,3.2627802064759877
TWN,4.36539631715231,4.24173934295611,0.12365697419620059
UGA,-0.3905509539867946,-0.46162384883858587,0.07107289485179125
URY,3.378625360568872,1.8937825570538034,1.4848428035150687
ZAF,3.482764701065957,2.8496229081694016,0.6331417928965553
ZMB,1.0586787227805328,2.002090659774688,-0.9434119369941554
ZWE,0.29369199458805006,0.1449357437138905,0.14875625087415956
