iso,observed,fitted,residual
ALB,5.852411763781076,3.0906303281980096,2.761781435583066
ARG,0.039728184912863895,1.3818123477712907,-1.3420841628584268
BDI,-0.13790765609644762,2.3480780828075813,-2.485985738904029
BEN,0.11912607791492391,1.4603191600863847,-1.3411930821714608
BFA,0.9474706891330698,1.1911601593839585,-0.24368947025088872
BGD,4.746124256990081,1.776769385694618,2.9693548712954625
BGR,2.4920295828385353,4.868244956962774,-2.3762153741242384
BOL,0.12945690230989904,0.8144335612908886,-0.6849766589809896
BRA,1.9335321049910625,2.533560076604937,-0.6000279716138746
CAF,-0.2615605329458148,1.3446617199648223,-1.6062222529106371
CHL,2.9874179537942958,3.1231897540075044,-0.13577180021320867
CIV,2.1322527609280018,2.727809454969113,-0.5955566940411114
COG,2.096860864739307,1.8393713507244582,0.257489514014849
COM,1.3632167021981534,0.8689369063891869,0.4942797958089665
CPV,5.609357588987667,2.9702372691922894,2.6391203197953774
CYP,3.6558207010898074,1.0201268670121881,2.6356938340776193
DJI,2.5801534020940142,3.1008998739151665,-0.5207464718211523
DOM,2.243703704096429,1.1022533623998199,1.1414503416966093
ECU,0.7304329592992342,1.4492366420492242,-0.71880368274999
ESP,2.750068874778213,2.8005763442027387,-0.05050746942452555
ETH,3.551875361959538,2.1519434876104206,1.3999318743491171
GHA,-1.1293490101984505,1.484292330494158,-2.6136413406926087
GNB,0.3675295905862086,1.0015519178759018,-0.6340223272896932
GRC,1.7795330425041822,2.5612728775926534,-0.7817398350884712
GTM,1.526098465585548,0.5867681045075074,0.9393303610780407
HND,0.2035275695029437,1.6493050542489076,-1.445777484745964
HRV,3.1436809952329003,3.901604974270408,-0.7579239790375079
HTI,-0.04618946421021786,0.5872230979721651,-0.633412562182383
HUN,2.851240569044453,4.087835867540054,-1.236595298495601
IDN,4.080384849701257,2.243306436142027,1.8370784135592304
KEN,2.5624207396382603,2.522626911358529,0.039793828279731436
KHM,3.0926159898296435,1.286518090372218,1.8060978994574255
KOR,5.030802920104431,4.173733898459774,0.8570690216446577
LSO,1.2450642267760115,1.8016811511965805,-0.556616924420569
MDG,0.7925843997744542,1.3670228321690143,-0.5744384323945602
MEX,2.376020279722404,3.2902848337869273,-0.9142645540645233
MLI,1.1712007822472703,1.5021580766740052,-0.33095729442673494
MNG,8.70196347941751,3.436748711812095,5.265214767605414
MOZ,-1.802139854152287,1.2991643451174306,-3.101304199269718
MWI,1.2546843066661717,2.1473649458708675,-0.8926806392046958
NER,-0.367805278633484,2.67414528651342,-3.041950565146904
NGA,-0.0052667724478228095,2.062364536852049,-2.067631309299872
NIC,2.2752175888179904,2.054186647475707,0.22103094134228352
NPL,2.4634428246401363,1.7628673246714825,0.7005754999686538
PAK,2.888844652531568,2.2917042388169637,0.5971404137146044
PAN,4.045435899195846,1.859935756410326,2.18550014278552
PER,-0.5706825944546612,1.7822475424207553,-2.3529301368754165
PHL,2.2005188539460807,1.638902530853962,0.5616163230921187
POL,3.888431789332935,3.651652195895274,0.23677959343766108
PRT,3.0874226174635133,2.9446553158520707,0.14276730161144258
PRY,1.6624809981261546,1.8868069327534056,-0.22432593462725103
ROU,4.633163476226647,2.545372785236967,2.08779069098968
SDN,-0.3473379629860984,1.0580815200467542,-1.4054194830328526
SEN,1.2890054003224272,2.544528434356533,-1.255523034034106
SLE,0.6113690967060093,0.20244579752670716,0.4089232991793021
SLV,2.295353093580239,1.4217446867577606,0.8736084068224785
THA,5.494898043824978,1.6912375560278965,3.8036604877970817
TWN,4.114868048155804,4.6730336665155425,-0.5581656183597383
UGA,1.0234904663206956,0.41852134748696146,0.6049691188337342
URY,1.5292787111839523,2.252004970981668,-0.7227262597977155
ZAF,3.514212619641448,3.411238138786324,0.10297448085512384
ZMB,4.292430766243545,3.0666847416930643,1.2257460245504803
ZWE,0.8930286186904102,0.8859695793649975,0.0070590393254126305
