iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center
ALB,Albania,ECA,1992,1991,True,True,0.3779599994421005,0.3856526970863342,-1.0468,63.30935251798561,1.0,6.533777236938477,7.9868790944290815,-4.688448905944824,-2.4582691543189483,6.2227678298950195,,5.859018851444731,5.852411763781076,-11.599998474121094,2.0,True,,0.7529665232342536,-0.3802039328657143,7
ARG,Argentina,LAC,1973,1972,True,True,-0.07856980049982668,0.3759815037250519,-1.389,56.58914728682171,1.0,8.834556579589844,9.406729185981574,2.5597095489501953,2.963196526304408,-0.46367645263671875,-0.01148223876953125,-0.5228847003163395,0.039728184912863895,-24.89999771118164,6.0,True,,0.09474047093392193,-0.6899110665548365,-12
BEN,Benin,AFR,1991,1990,True,True,-0.687279999256134,0.392676568031311,-0.8436,15.384615384615385,0.0,5.689627170562744,7.501634457883413,-0.15154361724853516,0.685591089848332,1.5666818618774414,1.2136173248291016,0.5266716514772884,0.11912607791492391,-17.79999542236328,3.0,True,,-0.7828997426365427,-0.19629835260379266,6
BFA,Burkina Faso,AFR,1977,1976,True,True,-0.7609000027179718,0.4039547801017761,-0.4404,20.149253731343283,0.0,5.027317523956299,6.946013991099227,1.6727447509765625,-0.40552468307199163,1.2674617767333984,1.1072635650634766,2.982135245041224,0.9474706891330698,-24.5,5.0,True,,-0.8890452872541917,0.16861665704978432,-8
BGD,Bangladesh,SAS,1991,1990,True,True,-0.6189999938011169,0.35708560347557067,-1.1148,19.58041958041958,0.0,5.635409355163574,6.913737350659685,0.9893274307250977,1.3951346430207057,2.607545852661133,3.445310592651367,3.896409081650365,4.746124256990081,-35.30000305175781,0.0,True,,-0.6844534233657786,-0.4417471388588772,6
BGR,Bulgaria,ECA,1991,1990,True,True,1.6899999856948853,0.3524394750595093,0.055799999999999995,88.81118881118881,1.0,7.420900821685791,9.09627541568821,2.556281089782715,-0.7677837150195721,-0.5613327026367188,2.1138739585876465,-0.5900413953334649,2.4920295828385353,-0.5,4.0,True,,2.6446697608349723,0.6177010513704809,6
BOL,Bolivia,LAC,1982,1981,True,True,-0.7773800015449523,0.41080495715141296,-2.281,14.084507042253522,0.0,6.9572272300720215,8.308938252595778,0.9990644454956055,1.4471260032995126,-1.5906667709350586,-0.2105998992919922,-1.1746086178919946,0.12945690230989904,-26.199996948242188,5.0,True,,-0.9128061996221848,-1.497213121641619,-3
BRA,Brazil,LAC,1985,1984,True,True,0.33707999587059023,0.3544037938117981,-1.502,63.63636363636363,1.0,8.056733131408691,8.914357274485015,1.186385154724121,1.478071249386641,1.056528091430664,1.058969497680664,1.4698280874417868,1.9335321049910625,-21.099998474121094,3.0,True,,0.6940256099087236,-0.7921813941611217,0
CAF,Central African Rep.,AFR,1993,1992,True,True,-0.9161400079727173,0.38887394070625303,-0.631,8.75912408759124,0.0,5.504217624664307,6.872328471263293,-2.7467966079711914,-2.2439290723146765,0.16201496124267578,,-0.3846557696903119,-0.2615605329458148,-4.600006103515625,5.0,True,,-1.1128707983838313,-0.0038853291604631275,8
CHL,Chile,LAC,1990,1989,True,True,0.6800999999046325,0.3305884003639221,-0.005799999999999983,75.52447552447552,1.0,8.010087013244629,9.210840247017833,2.498621940612793,1.6596431476918205,4.506778717041016,3.51107120513916,3.9467362422474395,2.9874179537942958,-7.40000057220459,1.0,True,,1.1885928936744108,0.5619501471178512,5
CIV,Côte d'Ivoire,AFR,2000,1999,True,True,0.0032607999630272387,0.35143041610717773,0.2824,39.50617283950617,0.0,6.501244068145752,7.790471665672217,-0.4022502899169922,0.3128422716442181,-1.2911701202392578,,0.370969837057169,2.1322527609280018,-18.5,4.0,True,,0.21272407924795023,0.8227847348712264,15
COG,"Congo, Republic of",AFR,1992,1991,True,True,-0.3171999990940094,0.3615056395530701,-1.4214,33.093525179856115,0.0,7.0618205070495605,8.259089166064498,0.5042362213134766,0.6347959877572329,-1.1472892761230469,,0.9714984068923727,2.096860864739307,9.400001525878906,4.0,True,,-0.24931727425658584,-0.7192345941162847,7
COM,Comoros,AFR,1990,1989,True,True,-1.1297600269317627,0.41445525288581847,-0.4699999999999999,3.4965034965034967,0.0,5.99850606918335,7.010311867307229,,0.7981710135560327,-1.0308027267456055,-0.8728718757629395,0.7077189212237123,1.3632167021981534,-17.900001525878906,3.0,True,,-1.420868790606071,0.14182726149981942,5
CPV,Cape Verde,AFR,1991,1990,True,True,0.2365400016307831,0.3992397964000702,2.0004,58.04195804195804,1.0,6.690188407897949,7.583247524303362,,3.7390726770045206,4.272260665893555,4.452159404754639,6.008719581672128,5.609357588987667,-16.5,0.0,True,,0.5490667408158747,2.377655733345545,6
DJI,Djibouti,MNA,1999,1998,True,True,0.1999400019645691,0.38952285051345825,-0.064,48.148148148148145,0.0,6.659045219421387,7.588103742504318,,-2.949656088014354,1.083970069885254,,2.212122799413798,2.5801534020940142,-13.5,4.0,True,,0.49629675012183894,0.5092764031648795,14
