iso,observed,fitted
ALB,5.85406064808442,2.326601150744432
ARG,-0.26551477738102847,0.00242339619999854
BEN,1.3898969733482591,1.048402513237486
BFA,0.9928720378549372,1.2920178763668506
BGD,2.7058768654931598,1.4498266745206958
BGR,-1.7416528092248207,3.4149911242916255
BOL,-1.5181363010118787,0.12764073534918616
BRA,0.9550377806912991,1.1325453548001339
CAF,-0.029555227144744123,1.067462863935952
CHL,4.521848633431684,1.7966198532630084
CIV,-1.8354394358294268,1.6517999284768015
COG,-1.346476733519344,0.8656547608425366
COM,-0.11716715917470033,0.06924790808526478
CPV,8.918128347250374,2.348259263038206
DOM,1.3479326956522986,0.21314357276765108
ECU,0.258935319542406,0.4295310315041964
ESP,1.3421959418753815,0.9866477921956542
ETH,1.6839858151064568,2.144812678011743
GHA,-1.6570299798689447,1.0028848537337856
GNB,0.19587196886233116,0.6966676937321338
GRC,1.4888469662802883,0.8548824333415623
GTM,2.8724513964765386,-0.021080147253618536
HND,5.280916925911319,1.981886213261457
HRV,3.4824051848356774,2.1765742770096823
HUN,-0.3318641360307417,2.335749984775833
IDN,3.2530431145375616,1.4581335292825133
KOR,7.329552549226878,2.526586496141674
LSO,2.53225980893113,1.5142245788435613
MDG,-1.6739530307711359,1.1046626328665734
MEX,1.6505168364906275,1.6077223353219399
MLI,1.6336788062926555,1.0415604060069104
MNG,1.389158915746096,2.3659579893359046
MOZ,4.754087165093779,1.6126281496219066
MWI,0.902897641201168,1.8899543321377312
NER,-1.7047068718290692,2.2160067731926265
NGA,-3.543423712651786,1.0225262525956225
NIC,0.9519761957156536,1.313619535334249
NPL,2.581316621147147,1.5938043047841821
PAK,2.0183281002257747,1.9666648178496813
PAN,2.175795210818716,0.539053182341521
PER,-2.324745056437374,0.7615640773684539
PHL,1.2173032493179825,0.9268802760376884
PRT,1.955069085513479,1.366914201752032
PRY,-0.34531830863937074,0.6370201842881558
SDN,-0.9345003245281358,0.7594966379035001
SEN,1.001464265309897,1.7785380074535813
SLE,1.0968291231834204,-0.18987860307871882
SLV,-0.9776215916577247,0.46176764954113514
THA,4.2213044961924595,1.2698049461865275
URY,3.5696887322157522,0.8142462759611697
ZAF,1.7820052239652995,2.0104652892017683
ZMB,-0.8811557958898941,2.270507486718291
ZWE,0.1518574928478511,0.19550935185780724
