iso,observed,fitted,residual
ARG,-0.01148223876953125,1.0799010739952648,-1.091383312764796
BEN,1.2136173248291016,1.089614300252489,0.12400302457661261
BFA,1.1072635650634766,0.7237274412467899,0.38353612381668667
BGD,3.445310592651367,1.1544491151782645,2.2908614774731024
BGR,2.1138739585876465,3.1823527841271133,-1.0684788255394668
BOL,-0.2105998992919922,0.7383161544642612,-0.9489160537562534
BRA,1.058969497680664,1.776739807778799,-0.717770310098135
CHL,3.51107120513916,2.209600964440317,1.3014702406988432
COM,-0.8728718757629395,0.6479090608468528,-1.5207809366097922
CPV,4.452159404754639,1.887952750319305,2.564206654435334
DOM,1.808009147644043,0.8101677251088467,0.9978414225351963
ECU,0.2514791488647461,1.1292350209920226,-0.8777558721272765
ESP,1.889796257019043,1.91574248246424,-0.02594622544519698
GHA,-1.1029958724975586,0.9205636127863328,-2.0235594852838914
GRC,1.0607099533081055,1.733987477023365,-0.6732775237152595
GTM,1.3010334968566895,0.4408206473409559,0.8602128495157335
HND,0.18100738525390625,1.1506830447139431,-0.9696756594600369
HUN,1.0830926895141602,2.7388670131000925,-1.6557743235859324
KOR,5.054903030395508,2.7535936310382993,2.3013093993572085
NER,-0.3592348098754883,1.6365690728145699,-1.9958038826900582
NGA,-0.40593385696411133,1.3052457680046485,-1.7111796249687599
NIC,1.2175297737121582,1.418718630701783,-0.20118885698962474
NPL,2.0811057090759277,1.2184144000998203,0.8626913089761075
PAK,2.392125129699707,1.3154784210773462,1.0766467086223608
PER,-0.5113554000854492,1.3079714945627132,-1.8193268946481624
PHL,1.5260791778564453,1.2013307323643825,0.32474844549206283
PRT,2.7756690979003906,1.9485521909084536,0.8271169069919371
ROU,1.2952947616577148,1.8228344730445392,-0.5275397113868243
SDN,-0.035419464111328125,0.5723859838123162,-0.6078054479236443
SLV,1.5325689315795898,1.0233328956058765,0.5092360359737134
SUR,1.660761833190918,1.0436226185092337,0.6171392146816843
THA,5.466122627258301,1.1068183672361316,4.359304260022169
URY,1.8874740600585938,1.6385471322935057,0.24892692776508807
ZMB,0.5762171745300293,1.8939906117677898,-1.3177734372377605
ZWE,0.7375407218933105,0.632855338596272,0.10468538329703858
