sector,start,end,start_count,end_count,cagr_percent
automobiles,1990,2000,931,4334,16.625608469492192
automobiles,2001,2010,5273,26855,19.82623994607131
automobiles,1990,2010,931,26855,18.30518357674993
textiles,1990,2000,686,2278,12.751664115849493
textiles,2001,2010,2900,12041,17.13752998409315
textiles,1990,2010,686,12041,15.402953022508449
