iso,observed,fitted
ALB,5.852411763781076,3.1531506129012805
ARG,0.0397281849128638,0.9882107095437684
BDI,-0.1379076560964476,2.521853300091627
BEN,0.1191260779149239,1.3710291343445882
BFA,0.9474706891330698,1.1122747786353928
BGD,4.746124256990081,1.8084617530023828
BGR,2.4920295828385353,5.013767685497547
BOL,0.129456902309899,0.5125103635687055
BRA,1.9335321049910623,2.3831086169322857
CAF,-0.2615605329458148,1.3290501031937705
CHL,2.987417953794296,3.0209313002982348
CIV,2.1322527609280018,2.7854641770373503
COG,2.096860864739307,1.7000949540694783
COM,1.3632167021981534,0.7657509577159961
CPV,5.609357588987667,3.0691954689826133
DOM,2.243703704096429,0.846768014403689
ECU,0.7304329592992342,1.1653694305472082
ESP,2.750068874778213,2.5922109733888754
ETH,3.551875361959538,2.2843085111378634
GHA,-1.1293490101984505,1.3340175430653367
GNB,0.3675295905862086,0.9046555459724671
GRC,1.7795330425041822,2.3325702281906397
GTM,1.526098465585548,0.22713250843994498
HND,0.2035275695029437,1.4883277831857882
HRV,3.1436809952329003,3.8918835039562834
HTI,-0.0461894642102178,0.395755211567829
HUN,2.851240569044453,4.10005726613298
IDN,4.080384849701257,2.131648956280766
KEN,2.5624207396382603,2.584762087779032
KHM,3.0926159898296435,1.21051621852743
KOR,5.030802920104431,4.194855388421912
LSO,1.2450642267760117,1.7540744791189131
MDG,0.7925843997744542,1.330444059899274
MEX,2.376020279722404,3.2195091458398806
MLI,1.1712007822472703,1.4774133180629268
MNG,8.70196347941751,3.610186109656675
MOZ,-1.802139854152287,1.2257706375855275
MWI,1.2546843066661717,2.2543952736873702
NER,-0.367805278633484,2.8435173369107276
NGA,-0.0052667724478228,2.0124525219842457
NIC,2.2752175888179904,2.003641401094447
NPL,2.4634428246401363,1.7566295088434771
PAK,2.888844652531568,2.299665714025615
PAN,4.045435899195846,1.6220049574111775
PER,-0.5706825944546612,1.5371216161363173
PHL,2.2005188539460807,1.4898442731961643
PRT,3.0874226174635133,2.784823195803386
PRY,1.6624809981261546,1.716139672759382
SDN,-0.3473379629860984,0.8868865116333029
SEN,1.2890054003224272,2.6050277526734575
SLE,0.6113690967060093,-0.006167427364803871
SLV,2.295353093580239,1.2196928681863186
THA,5.494898043824978,1.5298310563605357
URY,1.5292787111839523,2.0416638130745643
ZAF,3.514212619641448,3.4249353944912784
ZMB,4.292430766243545,3.2356064536002003
ZWE,0.8930286186904102,0.6843164672915175
