iso,observed,fitted,residual
ALB,5.852411763781076,2.0686101052030863,3.7838016585779894
ARG,0.039728184912863895,1.9803338283172287,-1.9406056434043648
BDI,-0.13790765609644762,1.9228620383254063,-2.060769694421854
BEN,0.11912607791492391,1.8522833413583166,-1.7331572634433927
BFA,0.9474706891330698,1.193522898867967,-0.24605220973489716
BGD,4.746124256990081,1.3666657893727605,3.3794584676173205
BGR,2.4920295828385353,3.2551816500946695,-0.7631520672561343
BOL,0.12945690230989904,1.2220599429245655,-1.0926030406146665
BRA,1.9335321049910625,2.100334247635072,-0.1668021426440096
CAF,-0.2615605329458148,1.6733937795699911,-1.934954312515806
CHL,2.9874179537942958,3.2510227221942807,-0.2636047683999849
CIV,2.1322527609280018,2.9604940651504945,-0.8282413042224928
COG,2.096860864739307,2.031791513521333,0.06506935121797408
COM,1.3632167021981534,1.7215496444311076,-0.3583329422329542
CPV,5.609357588987667,3.3878736339053543,2.2214839550823124
CYP,3.6558207010898074,2.4073888700795183,1.248431831010289
DJI,2.5801534020940142,2.6220320466413884,-0.04187864454737422
DOM,2.243703704096429,1.6252627280692096,0.6184409760272196
ECU,0.7304329592992342,1.7507440034446315,-1.0203110441453973
ESP,2.750068874778213,3.1654655614295875,-0.4153966866513743
ETH,3.551875361959538,1.7857291784196014,1.7661461835399364
GHA,-1.1293490101984505,1.145542800074216,-2.2748918102726665
GNB,0.3675295905862086,2.0007733015442475,-1.6332437109580389
GRC,1.7795330425041822,2.425589373144643,-0.646056330640461
GTM,1.526098465585548,0.427828443975842,1.098270021609706
HND,0.2035275695029437,2.0350267453407183,-1.8314991758377746
HRV,3.1436809952329003,3.8200254697262688,-0.6763444744933684
HTI,-0.04618946421021786,1.0632308096674659,-1.1094202738776837
HUN,2.851240569044453,3.7366555563401964,-0.8854149872957433
IDN,4.080384849701257,2.3714144697641166,1.7089703799371407
KEN,2.5624207396382603,2.2085907916119636,0.35382994802629675
KHM,3.0926159898296435,1.7853545984518613,1.3072613913777822
KOR,5.030802920104431,3.229458747828268,1.8013441722761634
LSO,1.2450642267760115,1.9525007394584182,-0.7074365126824067
MDG,0.7925843997744542,1.6822666722816444,-0.8896822725071902
MEX,2.376020279722404,3.437758210801971,-1.0617379310795672
MLI,1.1712007822472703,2.0743277562263582,-0.9031269739790879
MNG,8.70196347941751,2.8115239392465177,5.890439540170991
MOZ,-1.802139854152287,1.8388990536159069,-3.641038907768194
MWI,1.2546843066661717,1.6173553567312073,-0.36267105006503564
NER,-0.367805278633484,2.4488996797566136,-2.8167049583900976
NGA,-0.0052667724478228095,0.890831379398385,-0.8960981518462078
NIC,2.2752175888179904,2.207852027179588,0.06736556163840257
NPL,2.4634428246401363,1.7126615853153875,0.7507812393247488
PAK,2.888844652531568,1.7237304932991004,1.1651141592324676
PAN,4.045435899195846,3.2322179507283764,0.8132179484674698
PER,-0.5706825944546612,2.2500930183781556,-2.8207756128328167
PHL,2.2005188539460807,1.368235662469768,0.8322831914763127
POL,3.888431789332935,3.589150572963583,0.29928121636935234
PRT,3.0874226174635133,3.35019170598043,-0.2627690885169165
PRY,1.6624809981261546,2.32234897100071,-0.6598679728745553
ROU,4.633163476226647,2.1479468836389595,2.4852165925876877
SDN,-0.3473379629860984,1.0670529188030833,-1.4143908817891817
SEN,1.2890054003224272,3.0439014953319345,-1.7548960950095074
SLE,0.6113690967060093,0.8448269013587673,-0.233457804652758
SLV,2.295353093580239,1.3400634047825868,0.9552896887976523
THA,5.494898043824978,1.2454406593160718,4.249457384508906
TWN,4.114868048155804,4.202316608549101,-0.0874485603932964
UGA,1.0234904663206956,0.22365698710030885,0.7998334792203867
URY,1.5292787111839523,1.787253064436209,-0.2579743532522567
ZAF,3.514212619641448,2.9345745933962992,0.5796380262451488
ZMB,4.292430766243545,2.367664344963048,1.9247664212804967
ZWE,0.8930286186904102,0.3654117490608384,0.5276168696295718
