iso,observed,fitted
ALB,5.5216946076151,2.9645345389768143
ARG,-0.17161187991184157,0.15995799145126816
BDI,-0.06371880282582953,2.9923684769223766
BEN,1.0697249376042128,1.6504495612870511
BFA,1.031670942146956,2.137705801338644
BGD,3.4486752065709725,2.1689601167043278
BGR,1.8672149681482964,3.9438482874603658
BOL,-0.00347460479219297,0.5177559791764984
BRA,1.0859081970787265,1.4235315122151762
CAF,0.9912558684689232,1.7465043985444402
CHL,3.805925715738212,2.1466041400205476
CIV,0.8358891885865827,2.1201985291484053
COG,-0.09664139939740579,1.2501506374868243
COM,0.21172995283484486,0.5015278821021502
CPV,6.708230453837993,3.0577597809950436
DOM,1.786407056993702,0.5910867632120457
ECU,0.5410995130720053,0.7553924133553177
ESP,1.8453012761744603,1.1414982032441032
ETH,4.495585788513221,3.0365735920000994
GHA,-1.1918475038306164,1.6451170500567858
GNB,0.5516223342414461,1.2966779269865791
GRC,1.0797505929058904,1.0391931412410107
GTM,1.3062148843648913,0.4286022582882877
HND,8.438320970653592,2.8592023812388523
HRV,2.6947248069361684,2.427866345673301
HTI,-0.7577676118806043,0.07403697175204696
HUN,1.1419566075103926,2.6468171245062306
IDN,3.65981968474149,1.9119557344704499
KEN,1.7287376403720245,2.1714653553275713
KHM,2.033257122481631,1.2526648663987645
LSO,3.0523970846115933,2.1919681435273213
MDG,-0.4135696668562927,1.7775925494334037
MEX,0.9692220263685147,1.823608600868551
MLI,1.1414140746440937,1.6617582604832537
MNG,4.095725909858321,2.971593091204201
MOZ,4.629345514989316,2.461554931080974
MWI,1.8493326967025545,2.6817524574485554
NER,-0.27398959641092624,3.0120657862291336
NGA,-1.9170908939874962,1.5089324747020387
NIC,1.2427637592984242,1.8537792415257464
NPL,2.671428453729656,2.3461757806016093
PAK,2.2417683422974655,2.7870794677200568
PAN,4.246945605507237,0.732247242887158
PER,-0.6138572267360765,1.1209151316210513
PHL,1.5386184415091453,1.413566660871601
PRT,2.777764471944666,1.6513127611926663
PRY,1.273732462297854,0.9016311866929537
SDN,-0.35632418899060436,1.4585444760081758
SEN,1.4429673516359776,2.3508641997798176
SLE,1.222580185631461,0.2655483124247218
SLV,0.7135666697396736,0.8420121185054498
THA,5.414332559016648,1.91746583251708
URY,1.9553477268559138,1.0433286547032714
ZAF,1.9314089049626482,2.3972474068851866
ZMB,1.4892197718799105,2.963838235701447
ZWE,0.9420164109887041,0.6663326002448519
