iso,observed,fitted
ALB,5.5216946076151,1.4903270139590883
ARG,-0.17161187991184157,-0.024289828722673868
BDI,-0.06371880282582953,2.455920416301761
BEN,1.0697249376042128,1.7460992284113692
BFA,1.031670942146956,2.431917627435356
BGD,3.4486752065709725,2.747662269531405
BGR,1.8672149681482964,4.330737218060062
BOL,-0.00347460479219297,0.46190463589145453
BRA,1.0859081970787265,1.358590015274428
CAF,0.9912558684689232,1.2157139698343336
CHL,3.805925715738212,2.316598630348111
CIV,0.8358891885865827,1.9378693531764966
COG,-0.09664139939740579,1.3100364796239556
CPV,6.708230453837993,4.134542588793062
DOM,1.786407056993702,1.7229322197043642
ECU,0.5410995130720053,1.4379885876828031
ESP,1.8453012761744603,1.460452302263887
ETH,4.495585788513221,2.601671390825116
GNB,0.5516223342414461,2.1118507481995596
GRC,1.0797505929058904,1.9775153968641686
HND,8.438320970653592,4.495424670569183
HTI,-0.7577676118806043,-0.6780703849706404
HUN,1.1419566075103926,2.6690339744021205
IDN,3.65981968474149,2.9594693925385913
KEN,1.7287376403720245,2.1897531484114703
KHM,2.033257122481631,2.1858497367870613
KOR,5.87334972691929,4.613468616433594
LSO,3.0523970846115933,3.1104642633042663
MDG,-0.4135696668562927,1.4067729180598765
MEX,0.9692220263685147,1.8268780153069704
MLI,1.1414140746440937,1.6704856810323412
MNG,4.095725909858321,2.7805106849610137
MOZ,4.629345514989316,3.1869301230684846
MWI,1.8493326967025545,2.686352228893268
NER,-0.27398959641092624,2.104971375247962
NGA,-1.9170908939874962,2.641236492909047
NIC,1.2427637592984242,0.6609459442122587
NPL,2.671428453729656,3.1872227733691303
PAK,2.2417683422974655,3.324886344049846
PAN,4.246945605507237,0.6638170071179036
PER,-0.6138572267360765,0.7774730044885082
PHL,1.5386184415091453,0.9264314623687527
PRT,2.777764471944666,2.318315081095836
PRY,1.273732462297854,1.0361249300304476
SEN,1.4429673516359776,2.6015979346867386
SLE,1.222580185631461,-0.6293526617487352
SLV,0.7135666697396736,0.01528858994490496
THA,5.414332559016648,2.832091645609287
URY,1.9553477268559138,0.5560898913258217
ZAF,1.9314089049626482,1.6010852755682656
ZMB,1.4892197718799105,2.2988619712574545
ZWE,0.9420164109887041,0.825124748257025
