source_id,document_title,document_type,year,archive_or_url,sector,page_or_section,notes
SRC_AUTO_1996_001,中华人民共和国国民经济和社会发展"九五"计划和2010年远景目标纲要,national_plan,1996,https://www.ndrc.gov.cn/fggz/fzzlgh/gjfzgh/200709/P020191029595686994247.pdf,Automobiles,Section 四(三)4 汽车工业,Approved by 8th NPC 4th Session 1996-03-17; highest-grade official source; firm-count/capacity allocation and persistence passage
SRC_AUTO_1996_002,中华人民共和国国民经济和社会发展"九五"计划和2010年远景目标纲要,national_plan,1996,https://www.ndrc.gov.cn/fggz/fzzlgh/gjfzgh/200709/P020191029595686994247.pdf,Automobiles,Section 四(三)4 汽车工业,Approved by 8th NPC 4th Session 1996-03-17; highest-grade official source; domestic-market-share persistence passage
